ptr	len	raw	decoded	expanded
1309	71	F3 00 04 16 52 00 6C 70 60 15 1A 0B 76 19 01 18 28 74 19 1F 0C 07 0E 60 19 28 69 3F 60 06 15 00 0A 17 06 74 4A 2F 05 17 00 07 1F 07 32 17 37 60 EA 22 2F 09 33 47 00 08 56 33 4F 75 4F 1E 03 27 16 1B 60 07 68 71 FF	[F3] けいぶ ですね。\n[F1:$02]あなたの おかえりを おまちして\n[F1:$02]おりました。\n[F1:$02]さあ そうさを ぞっこう しましょう[GLYPH:$37]\n[F1:$02]メッセージ スピードは どのくらいに\n[F1:$02]しますか？	[F3] けいぶ ですね。\n[F1:$02]あなたの おかえりを おまちして\n[F1:$02]おりました。\n[F1:$02]さあ そうさを ぞっこう しましょう[GLYPH:$37]\n[F1:$02]メッセージ スピードは どのくらいに\n[F1:$02]しますか？
139E	19	7A 0A 17 06 74 0C 31 17 4B 2E 07 68 3F 60 16 16 6C 71 FF	では そうさを ちゅうだんします。\n[F1:$02]いいですか？	では そうさを ちゅうだんします。\n[F1:$02]いいですか？
13C0	17	4F 17 23 00 19 0D 01 2A 06 1F 6D 3F F2 86 ED 62 FF	どうも おつかれさまでした。[F2:$ED86]\n[F1:$0A][FE][F9]	どうも おつかれさまでした。[F0:$A2]\n[F1:$0A][FE][F9]
13D4	18	7A 0A 17 06 2D 00 4A 2F 05 17 07 1F 08 3F F2 86 ED FF	では そうさを ぞっこうします。[F2:$ED86]	では そうさを ぞっこうします。[F0:$A2]
13E6	40	05 2A 78 02 32 17 76 0A 17 06 E2 22 23 00 6C 3F F8 84 01 1B 00 01 02 0F 22 0E 00 19 16 0E 03 4B 06 16 3F F2 86 ED 62 FF	これが きょうの そうさメモ です。\nなにかに かきとめて おいてください。[F2:$ED86]\n[F1:$0A][FE][F9]	これが きょうの そうさメモ です。\nなにかに かきとめて おいてください。[F0:$A2]\n[F1:$0A][FE][F9]
1535	5	64 F2 DE E7 FF	くろき「[F2:$E7DE]	くろき「では あたりにいるひとに\n[F1:$02]ききこみをしてみましょう。[F0:$A2]\n[F1:$0A][FE][F9]
153A	5	64 F2 F5 E7 FF	くろき「[F2:$E7F5]	くろき「とくに てがかりになる はなしは\n[F1:$02]きけませんでしたよ。ボス。
1604	24	FC 07 2C 10 75 03 08 43 2F 0B 16 4E 1D 18 1E 3F 60 24 22 0E 04 2A 3F FF	[FC:$07]わはは くすぐったいでねえの。\n[F1:$02]やめてけれ。	[FC:$07]わはは くすぐったいでねえの。\n[F1:$02]やめてけれ。
161C	14	64 19 01 07 1A 23 1E 75 23 2F 0E 6A 6F FF	くろき「おかしなものは もってませんよ。	くろき「おかしなものは もってませんよ。
162A	47	04 16 01 2E 3A 14 2E 01 2E 73 84 2D 08 29 02 6C 71 F8 64 E2 02 20 00 41 1F 2E 07 1A 06 16 3F 60 F3 00 04 16 52 76 22 16 2A 16 4B 01 27 70 FF	けいかん「ほんかんに なにをするきですか？\nくろき「キミ がまんしなさい。\n[F1:$02][F3] けいぶの めいれいだからね。	けいかん「ほんかんに なにをするきですか？\nくろき「キミ がまんしなさい。\n[F1:$02][F3] けいぶの めいれいだからね。
