id	bank8k	prg_offset	file_offset	capacity	display_limit	original_hex	original_text	translation	ui_width	ui_lines	wrapped_preview	encoded_length
D0001	02	04001	04011	23		05 99 FF 92 85 AE 85 A7 AC A2 93 A1 FF 8E 82 8A 95 92 AE 85 88 8F BF	J.B.は てがかりをもとめ そうさにでかけた。	J.B. отправился искать улики.	26	4	J.B. отправился искать | улики.	26
D0002	02	04019	04029	38		D9 C1 FF 05 FF A9 81 98 8B AE 88 AD 99 93 AE 82 FE FF 80 94 8F 94 A6 8B AE 88 AD AC FF 85 81 88 91 92 AE 86 A8 AB	ハイ J.B. れいのじけんはどう？ あなたならじけんを かいけつできるわ	Привет,J.B.,как дело?Ты ведь раскроешь его.	26	4	Привет,J.B.,как дело?Ты | ведь раскроешь его.	40
D0003	02	04040	04050	10		05 FF 85 AE AD 99 AE B0 92 97	J.B. がんばってね	Удачи J.B.	26	4	Удачи J.B.	7
D0004	02	0404B	0405B	14		05 FF C9 FC DA FC 92 AE A2 81 85 85 AE FE	J.B. コーヒーでもいかが？	J.B.,выпьешь кофе?	26	4	J.B.,выпьешь кофе?	15
D0005	02	0405A	0406A	29		91 85 A9 92 81 A8 AD 8B AE B1 94 81 FE FF 85 A6 8F AE 85 AE FF 8B AD 99 AF 81 8F AE AB	つかれているんじゃない？ からだが しんぱいだわ	Ты не устал?Я за тебя волнуюсь.	26	4	Ты не устал?Я за тебя | волнуюсь.	31
D0006	02	04078	04088	28		8E 82 8A 99 93 AE 82 0A 85 FE FF 85 AD 8B 86 98 89 93 99 9E 85 8D 92 87 8F AE 8A 81	そうさはどうですか？ かんしきのことはまかせてください	Как дело?Экспертизу оставь мне.	26	4	Как дело?Экспертизу оставь | мне.	31
D0007	02	04095	040A5	11		94 95 85 FF 9F 91 85 A7 0C 85 FE	なにか みつかりましたか？	Что нашли?	26	4	Что нашли?	10
D0008	02	040A1	040B1	17		81 81 92 85 AE 85 A7 85 AE FF 9F 91 85 A7 0C 85 FE	いいてがかりが みつかりましたか？	Есть хорошие улики?	26	4	Есть хорошие улики?	19
D0009	02	040B3	040C3	40		8B AE 88 AD 85 81 88 91 98 FF 92 85 AE 85 A7 85 AE 80 A8 85 A2 8B A9 94 81 BF FF 05 99 FF 8B A7 B3 82 AC 9F 91 A1 8F BF	じけんかいけつの てがかりがあるかもしれない。 J.B.は しりょうをみつめた。	Тут может быть ключ к делу.J.B. изучил архив.	26	4	Тут может быть ключ к | делу.J.B. изучил архив.	42
D0010	02	040DC	040EC	31		05 99 FF 85 85 AB A7 85 AE 80 A7 8E 82 94 FF 8B AE 88 AD 98 8B A7 B3 82 AC 8A 85 AE 8B 8F BF	J.B.は かかわりがありそうな じけんのしりょうをさがした。	J.B. искал дела связанные с этим.	26	4	J.B. искал дела связанные | с этим.	30
D0011	02	040FC	0410C	27		D9 EA E8 D3 AE 87 AD FF 8B AD 89 82 8B AE B3 82 86 B3 82 99 FF 93 AE 82 85 97 BF	ハロルドくん しんこうじょうきょうは どうかね。	Харолд как идёт расследование?	26	4	Харолд как идёт | расследование?	30
D0012	02	04118	04128	29		8E 82 8A 95 99 FF 9D 82 92 86 94 92 91 91 AE 86 85 AE FF 9A 91 A5 82 94 AD 8F AE 8E AE	そうさには ほうてきなてつづきが ひつようなんだぞ	Следствие требует законных процедур.	26	4	Следствие требует законных | процедур.	36
D0013	02	04136	04146	10		86 B3 85 98 8B AD 8D 81 85 97	きょかのしんせいかね	Просишь ордер?	26	4	Просишь ордер?	14
D0014	02	04141	04151	21		84 A2 87 A8 8B 81 87 82 86 85 AE FF 8F 8F AE A5 B0 92 81 8F BF	おもくるしいくうきが ただよっていた。	В воздухе висело тяжёлое молчание.	26	4	В воздухе висело тяжёлое | молчание.	34
D0015	02	04157	04167	20		A5 82 86 AE 8B B1 99 FF 9B 80 AD 94 A5 82 8C 0A AB B0 8F BF	ようぎしゃは ふあんなようすですわった。	Подозреваемый нервно сидел.	26	4	Подозреваемый нервно | сидел.	27
D0016	02	0416C	0417C	23		A5 99 AE A9 8F A5 82 86 AE 8B B1 99 FF 8F AE A9 A2 81 94 85 B0 8F BF	よばれたようぎしゃは だれもいなかった。	Никого из вызванных не было.	26	4	Никого из вызванных не | было.	28
D0017	02	04184	04194	27		D9 EA E8 D3 AE 87 AD FF 8C 92 AE 95 99 B0 89 82 8C AE 9F 8B AE B1 94 81 85 97 FE	ハロルドくん すでにはっこうずみじゃないかね？	Харолд этот ордер уже выдан?	26	4	Харолд этот ордер уже | выдан?	28
D0018	02	041A0	041B0	40		9E 8F AE FF 99 AD 95 AD 85 AE AB 85 A6 94 81 98 85 BF FF A1 AD A2 87 95 85 88 92 FF 99 A3 87 FF 85 81 88 91 8B 92 87 A9	まだ はんにんがわからないのか。 めんもくにかけて はやく かいけつしてくれ	Убийца ещё не найден?Раскрой дело скорее.	26	4	Убийца ещё не | найден?Раскрой дело | скорее.	41
D0019	02	041C9	041D9	20		05 99 FF 8B B3 82 89 9A AD 99 FF A2 B0 92 81 94 85 B0 8F BF	J.B.は しょうこひんは もっていなかった。	У J.B. не было улик.	26	4	У J.B. не было улик.	17
D0020	02	041DE	041EE	24		88 B0 85 AC FF 86 85 A9 92 A2 FF 94 95 A2 9F 8D 92 A2 A6 B0 92 81 08 A5	けっかを きかれても なにもみせてもらっていませんよ	Что я скажу если вы ничего не показали?	26	4	Что я скажу если вы ничего | не показали?	39
D0021	02	041F7	04207	43		86 AE AD 8D 81 0A BF F6 C3 CC BF C3 E0 F7 93 FF C1 D5 CB F1 E8 85 AE 80 A7 9E 8C BF FF 88 B0 89 AD BF 8B A2 AD FF 93 A2 95 94 8B	ぎんせいです。「エス。エム」と イニシャルがあります。 けっこん。しもん ともになし	Серебро.Инициалы С.М.Крови и отпечатков нет.	26	4	Серебро.Инициалы С.М.Крови | и отпечатков нет.	44
D0022	02	04223	04233	88		8D 81 A1 81 9D 88 AD 98 FF 88 81 A3 87 8B B3 0A BF FF 99 B0 89 82 99 F6 D9 FC D3 BF CD C1 DB F7 FF ED 90 87 95 80 A7 9E 8C BF FF 85 95 B2 82 8B B1 99 0B BF EA DA AE EC CC AE FF 85 88 86 AD 99 B5 B4 B4 9E AD D3 AE E8 FF 82 88 93 A7 95 AD 99 FF CB AE F1 D7 F0 D3 0A	せいめいほけんの けいやくしょです。 はっこうは「ハート。セイフ」 Aちくにあります。 かにゅうしゃはビル。ロビヲズ かけきんは100まんドル うけとりにんは ジャネットです	Полис жизни от Харт-Сейф,район A.Билл Роббинс,1 млн.Получатель Джанет.	26	4	Полис жизни от | Харт-Сейф,район A.Билл | Роббинс,1 млн.Получатель | Джанет.	70
D0023	02	0427C	0428C	30		EA EC C7 AE DC C0 FC 98 85 91 A6 0A BF FF 9C AD 8E 82 95 FF 91 85 B0 8F 98 85 A2 8B A9 08	ロヲグヘアーのかつらです。 へんそうに つかったのかもしれません	Парик из длинных волос.Возможно для маскировки.	26	4	Парик из длинных | волос.Возможно для | маскировки.	47
D0024	02	0429B	042AB	92		92 85 AE 9F 0A BF FF F6 80 81 8C A8 C3 CC BF C3 E0 9C BF BF 94 8D AE FF 80 AD 94 84 93 89 93 0D 9D AD 93 95 80 81 8B 92 81 A8 98 99 FF 9D AE 87 8F AE 88 8F AE BF 80 81 91 AC 89 AA 8B 92 A2 FF 86 9F AC 0D F7 FF 8A 8B 8F AE 8B 95 AD 99 FF DB E9 F0 D3 AE BF EA DA AE EC CC AE 0A	てがみです。 「あいするエス。エムへ。。なぜ あんなおとこと・・・ほんとにあいしているのは ぼくだけだ。あいつをころしても きみを・・・」 さしだしにんは フレッド。ロビヲズです	Письмо любимой С.М.Зачем тебе он?Люблю тебя лишь я.Я убью его.Автор Фред Роббинс.	26	4	Письмо любимой С.М.Зачем | тебе он?Люблю тебя лишь | я.Я убью его.Автор Фред | Роббинс.	81
D0025	02	042F8	04308	83		B6 B6 89 82 88 81 98 D2 AE E7 EC CB AE F1 FC FF 8B AE B3 8D 81 98 89 AE 8B AD A5 82 0A 97 BF FF 99 B0 9D AF 82 98 88 81 8D 86 85 AE FF 80 A7 9E 8C BF 8B A2 AD 99 FF CB C3 E7 FC BF DE C7 D3 AE D4 E8 D3 AE 93 E6 E8 DB BF C6 F1 E7 EC D3 EC 98 A2 98 0A	22こうけいのデリヲジャー じょせいのごしんようですね。 はっぽうのけいせきが あります。しもんは シエリー。マクドナルドとラルフ。キャリヲトヲのものです	Дерринджер 22 калибра.Женское оружие.Стреляли.Отпечатки Шелли и Ральфа.	26	4	Дерринджер 22 | калибра.Женское | оружие.Стреляли.Отпечатки | Шелли и Ральфа.	71
D0026	02	0434C	0435C	22		CB E8 C7 98 CC C5 FC DB 0A BF 88 91 83 86 85 AE 8F 99 FF ED EE 0A	シルクのスカーフです。けつえきがたは ABです	Шёлковый шарф.Кровь AB.	26	4	Шёлковый шарф.Кровь AB.	23
D0027	02	04363	04373	56		95 87 86 A7 A5 82 D4 C1 DB 0A BF 86 B3 82 86 93 FF 81 B0 90 8C A8 FF 84 84 86 8A 0A BF FF 88 B0 89 AD 85 AE 80 A7 9E 8C BF FF 88 91 83 86 85 AE 8F 99 ED EE 85 AE 8F 0A	にくきりようナイフです。きょうきと いっちする おおきさです。 けっこんがあります。 けつえきがたはABがたです	Нож для мяса.Размер совпадает.Есть кровь.Кровь группы AB.	26	4	Нож для мяса.Размер | совпадает.Есть кровь.Кровь | группы AB.	57
D0028	02	0439D	043AD	61		9B A8 81 8B B1 8B AD 0A BF FF 9B 8F A7 98 8F AE AD 8D 81 98 80 81 8F AE 95 FF 84 AD 94 98 89 85 AE 9A 93 A7 FF 9A 8F AE A7 98 8F AE AD 8D 81 99 FF 9E 91 99 AE 91 AE 83 AC 8B 92 9E 8C	ふるいしゃしんです。 ふたりのだんせいのあいだに おんなのこがひとり ひだりのだんせいは まつばづえをしてます	Старое фото.Девочка между двух мужчин.Слева мужчина на костылях.	26	4	Старое фото.Девочка между | двух мужчин.Слева мужчина | на костылях.	64
D0029	02	043DB	043EB	57		89 A9 99 8B AE AD 89 91 0A BF FF 8B AE B2 82 8F AE AD 92 AE FF 9F 86 AE 80 8B AC 82 8F A9 92 9E 8C BF FF DC AE D3 D4 E0 92 AE 92 AE A2 FF A3 A6 A9 8F 98 92 AE 8B B3 82 85	これはじんこつです。 じゅうだんで みぎあしをうたれてます。 ベトナムででも やられたのでしょうか	Человеческая кость.Правая нога прострелена.Возможно,рана с войны.	26	4	Человеческая кость.Правая | нога | прострелена.Возможно,рана | с войны.	65
D0030	02	04415	04425	57		8B AD 9B AE AD 98 86 A7 96 86 0A BF F6 E7 D9 AE D2 C1 BF D9 AE EC C7 84 82 A7 B3 82 8B AE 88 AD FF A1 81 86 B2 82 81 A7 85 FE F7 FF B6 B4 97 AD 9E 83 98 86 8B AE 0A A5 BF	しんぶんのきりぬきです。「リバテイ。バヲクおうりょうじけん めいきゅういりか？」 20ねんまえのきじですよ。	Газетная вырезка.Дело о растрате Либерти Банк закрыто?Статья 20 лет назад.	26	4	Газетная вырезка.Дело о | растрате Либерти Банк | закрыто?Статья 20 лет | назад.	74
D0031	02	0444F	0445F	31		80 84 81 E9 EC CC AE 0A 97 BF 89 A9 AC 8C A8 93 FF 9A 93 9F 98 81 AA 85 AE 85 AB A7 9E 8C A5	あおいレヲズですね。これをすると ひとみのいろがかわりますよ	Голубые линзы.Они меняют цвет глаз.	26	4	Голубые линзы.Они меняют | цвет глаз.	35
D0032	02	04470	04480	64		8B B2 8B AE B2 91 A5 82 98 FF E1 CC 0A BF 86 B3 82 86 98 FF 85 98 82 8D 81 A2 80 A7 9E 8C 85 AE FF 8B B3 82 93 AE 87 8A A9 92 81 92 FF 8B A2 AD A2 FF 88 B0 89 AD A2 FF 99 B0 88 AD 92 AE 86 08	しゅじゅつようの メスです。きょうきの かのうせいもありますが しょうどくされていて しもんも けっこんも はっけんできません	Хирургический скальпель.Мог быть оружием.Но чист.Отпечатков и крови нет.	26	4	Хирургический | скальпель.Мог быть | оружием.Но чист.Отпечатков | и крови нет.	72
D0033	02	044B1	044C1	59		89 A9 99 FF FB FB C5 EC D9 AF D5 FC 98 FF 85 87 8B 90 B3 82 9D AE 0A BF FF 85 94 A7 98 8B B1 B0 86 AD 85 AE FF 80 A7 9E 8C BF 88 81 83 81 99 FF 8E 82 93 82 80 B0 85 8B 92 9E 8C	これは HHカヲパニーの かくしちょうぼです。 かなりのしゃっきんが あります。けいえいは そうとうあっかしてます	Тайная книга HH Компания.Долгов много.Дела очень плохи.	26	4	Тайная книга HH | Компания.Долгов много.Дела | очень плохи.	55
D0034	02	044ED	044FD	77		CC CF EC E7 FC BF D9 EB FC D3 AE 98 FF E7 D9 AE D2 C1 BF D9 AE EC C7 98 91 82 90 B3 82 0A BF FF 8C AE B0 93 FF 8A AE AD 8F AE 85 85 AE 94 85 B0 8F 98 95 FF 8D AD 88 AE 91 9E 91 95 FF 8F 81 86 AD 85 AE 95 B2 82 86 AD 8A A9 92 9E 8C	スタヲリー。ハワードの リバテイ。バヲクのつうちょうです。 ずっと ざんだかがなかったのに せんげつまつに たいきんがにゅうきんされてます	Книжка Стэнли Ховарда,Либерти Банк.Денег не было.Но месяц назад внесли крупную сумму.	26	4	Книжка Стэнли | Ховарда,Либерти Банк.Денег | не было.Но месяц назад | внесли крупную сумму.	85
D0035	02	0453B	0454B	63		B7 B4 9E AD D3 AE E8 98 FF 8B B1 87 A5 82 8B B3 0A BF 85 8B 96 8B 99 0B BF EA DA AE EC CC AE FF 85 A7 92 81 8F 98 99 D3 D5 FC BF DD E8 D2 AE C1 EC C7 AE FF 86 88 AE AD 99 FF 8C 86 AE 92 09	30まんドルの しゃくようしょです。かしぬしはビル。ロビヲズ かりていたのはトニー。ホルデイヲグ きげんは すぎています	Долг 300000.Билл Роббинс дал Тони Холдингу.Срок уже прошёл.	26	4	Долг 300000.Билл Роббинс | дал Тони Холдингу.Срок уже | прошёл.	59
D0036	02	0457B	0458B	77		F6 E9 F0 D3 AE CF C1 C7 E6 DB AE 85 81 81 AD A1 81 9D AE F7 FF CB AE E0 BF DE C7 DC AE C1 EC FF C3 D3 AE EB FC D3 AE BF EA DA AE EC CC AE FF CA C1 E2 EC BF E9 EC D2 AE E8 FF DC EC E7 FC BF C7 E9 C1 EC 98 94 9E 83 85 AE 80 A7 9E 8C	「レッドタイクラブかいいんめいぼ」 ジム。マクベイヲ エドワード。ロビヲズ サイモヲ。レヲデル ヘヲリー。クレイヲのなまえがあります	Список Ред-Тай Клуб.Джим Макбейн,Эдвард Роббинс,Саймон Ренделл,Генри Клейн.	26	4	Список Ред-Тай Клуб.Джим | Макбейн,Эдвард | Роббинс,Саймон | Ренделл,Генри Клейн.	75
D0037	02	045C9	045D9	21		F6 E7 D9 AE D2 C1 BF D9 AE EC C7 84 82 A7 B3 82 8B AE 88 AD F7	「リバテイ。バヲクおうりょうじけん」	Дело о растрате Либерти Банк.	26	4	Дело о растрате Либерти | Банк.	29
D0038	02	045DF	045EF	49		B5 BD BA BA 97 AD BC 85 AE 91 FF E7 D9 AE D2 C1 BF D9 AE EC C7 95 84 81 92 FF 8F 85 AE 87 98 FF 8B 93 9B A1 81 86 AD 85 AE FF 99 B0 85 87 8B 8F BF	1966ねん8がつ リバテイ。バヲクにおいて たがくの しとふめいきんが はっかくした。	Август 1966.В Либерти Банк обнаружена крупная недостача.	26	4	Август 1966.В Либерти Банк | обнаружена крупная | недостача.	56
D0039	02	04611	04621	68		8C 81 93 82 85 AE 85 A7 FF DC EC E7 FC BF C7 E9 C1 EC F6 B7 B6 8A 81 F7 85 AE FF 84 82 A7 B3 82 98 A5 82 86 AE 92 AE FF 8B A6 9C AE AC 82 88 A8 85 AE FF 8B B3 82 89 85 AE 8F A6 8C AE FF 8B B1 87 9D 82 BF	すいとうがかり ヘヲリー。クレイヲ「32さい」が おうりょうのようぎで しらべをうけるが しょうこがたらず しゃくほう。	Кассир Генри Клейн,32.Подозревался в растрате,но доказательств не хватило.	26	4	Кассир Генри | Клейн,32.Подозревался в | растрате,но доказательств | не хватило.	74
D0040	02	04656	04666	52		9E A2 94 87 DC EC E7 FC BF C7 E9 C1 EC 98 8B FF 93 81 82 C0 C7 CB D2 AE EC D3 92 AE FF 8E 98 8F 98 FF 92 85 AE 85 A7 85 AE 94 87 FF A1 81 86 B2 82 81 A7 BF	まもなくヘヲリー。クレイヲのし というアクシデヲトで そのたの てがかりがなく めいきゅういり。	Вскоре Клейн погиб.После этого следы пропали.Дело закрыли.	26	4	Вскоре Клейн погиб.После | этого следы пропали.Дело | закрыли.	58
D0041	02	0468B	0469B	21		F6 CF AE C2 EC CC AE DA E8 CC AE 9D AE 82 89 82 8B AE 88 AD F7	「ダウヲズヒルズぼうこうじけん」	Нападение на Даунс Хиллс.	26	4	Нападение на Даунс Хиллс.	25
D0042	02	046A1	046B1	70		B5 BD BC B7 97 AD FF B8 85 AE 91 FF B6 B7 95 90 9F A1 81 FF DA AF C0 D5 CC D3 FF CA E6 BF CB FC E8 CC AE F6 B6 B5 8A 81 F7 85 AE FF CF AE C2 EC CC AE DA E8 CC AE 9D AE 90 FF 90 85 87 92 AE FF 84 8E AB A9 8F BF	1983ねん 4がつ 23にちみめい ピアニスト サラ。シールズ「21さい」が ダウヲズヒルズぼち ちかくで おそわれた。	23 апреля 1983.Ночью пианистка Сара Шилдс,21 год,была атакована у кладбища.	26	4	23 апреля 1983.Ночью | пианистка Сара Шилдс,21 | год,была атакована у | кладбища.	75
