source	target	target_is_pointer_start	target_ids
1303	1309	0	
137F	139E	0	
1384	13E6	0	
1384	13C0	0	
138F	13D4	0	
1394	ED82	0	
1394	139E	0	
1394	ED86	0	
13B1	ED82	0	
13B1	13E6	0	
13B1	ED82	0	
13B1	13C0	0	
13C0	ED86	0	
13D1	ED82	0	
13D1	ED86	0	
13D4	ED86	0	
13E6	ED86	0	
146D	E7BB	0	
1535	E7DE	0	
153A	E7F5	0	
179D	E8BD	0	
17A2	E83E	0	
17F4	E8CD	0	
17F4	DADB	1	1479
1910	E881	0	
1A17	ED43	0	
1A17	ED4E	0	
1B17	E87A	0	
1B3F	E87A	0	
1B7D	E87A	0	
1B9E	ED5A	0	
1B9E	ED5F	0	
1BE9	ED5A	0	
1BE9	ED5F	0	
1C14	ED5A	0	
1C14	ED5F	0	
1C33	ED5A	0	
1C33	ED5F	0	
1C6F	E865	0	
1C80	E88D	0	
1CC0	ED5A	0	
1CC0	ED5F	0	
1CE4	E942	0	
1CE8	E942	0	
1CE8	ED5A	0	
1CE8	ED5F	0	
1CFF	E942	0	
1CFF	ED5A	0	
1CFF	ED5F	0	
1D2F	E942	0	
1D2F	ED5A	0	
1D2F	ED5F	0	
1D49	E942	0	
1D49	DADB	1	1479
1D72	ED5A	0	
1D72	ED5F	0	
1DA3	ED62	0	
1DA3	ED6A	0	
1DC0	ED62	0	
1DC0	ED6A	0	
1DE2	ED62	0	
1DE2	ED6A	0	
1E10	ED62	0	
1E10	ED6A	0	
1E29	ED62	0	
1E29	ED6A	0	
1E3E	ED62	0	
1E3E	ED6A	0	
1E5C	ED62	0	
1E5C	ED6A	0	
1E7D	ED62	0	
1E7D	ED6A	0	
1E96	ED62	0	
1E96	ED6A	0	
1EC5	ED62	0	
1EC5	ED6A	0	
1EE0	ED62	0	
1EE0	ED6A	0	
1EF2	ED62	0	
1EF2	ED6A	0	
1F1A	ED62	0	
1F1A	ED6A	0	
1F3A	ED62	0	
1F3A	E961	0	
1F3A	ED6A	0	
1F44	E942	0	
1F44	ED62	0	
1F44	ED6A	0	
1F76	E942	0	
1F76	ED62	0	
1F76	ED6A	0	
1F79	ED62	0	
1F79	ED6A	0	
1F8F	E942	0	
1F8F	DADB	1	1479
1FB2	E942	0	
1FB2	ED62	0	
1FB2	ED6A	0	
1FE4	ED6D	0	
1FE4	ED74	0	
2022	ED6D	0	
2022	ED74	0	
204F	ED6D	0	
204F	ED74	0	
2081	ED6D	0	
2081	ED74	0	
20A4	ED6D	0	
20A4	ED74	0	
20DB	ED6D	0	
20DB	ED74	0	
2101	ED6D	0	
2101	ED74	0	
2117	ED6D	0	
2117	ED74	0	
2147	ED6D	0	
2147	ED74	0	
2160	ED6D	0	
2160	ED74	0	
2186	E942	0	
2186	ED6D	0	
2186	ED74	0	
2203	E942	0	
2203	DADB	1	1479
221F	E942	0	
221F	ED6D	0	
221F	ED74	0	
22BB	E865	0	
22F8	E942	0	
230B	E942	0	
236A	E87A	0	
2529	E87A	0	
25E4	1535	0	
25E4	153A	0	
25EB	1604	0	
25EB	161C	0	
25F3	162A	0	
25F3	161C	0	
25FB	1767	0	
25FB	1796	0	
2603	1863	0	
2607	E8D6	0	
2607	E8E2	0	
261A	194A	0	
261A	1976	0	
261A	19A6	0	
2626	1976	0	
2626	19A6	0	
263C	1829	0	
263C	1833	0	
2643	1535	0	
2643	1AE9	0	
264A	1829	0	
264A	153A	0	
2651	1829	0	
2651	1AC8	1	297
2658	1BD1	0	
2658	1BE9	0	
265F	1BD1	0	
265F	1C14	0	
2666	1BD1	0	
2666	1C33	0	
266D	1CB2	0	
266D	168B	1	259
2674	1DFD	0	
2674	1E10	0	
267C	1DFD	0	
267C	1E29	0	
2684	1BD1	0	
2684	1E3E	0	
268B	1BD1	0	
268B	1E5C	0	
2692	1BD1	0	
2692	1E7D	0	
2699	1BD1	0	
2699	1E96	1	384
26A0	1EA9	1	385
26A0	1EC5	0	
26A0	161C	0	
26AB	1EC5	0	
26AB	1EF2	0	
26B3	1EA9	1	385
26B3	1EE0	0	
26BA	1F44	0	
26BA	1F79	1	383
26C2	1DFD	0	
26C2	2022	0	
26CA	1BD1	0	
26CA	204F	0	
26D1	1BD1	0	
26D1	2081	0	
26D8	2090	0	
26D8	20A4	0	
26D8	20DB	0	
26E3	2090	0	
26E3	2117	0	
26EA	212C	0	
26EA	2147	0	
26EA	161C	0	
26F5	E942	0	
26F5	21A9	0	
26F5	21C7	0	
26F5	DADB	1	1479
2702	1BD1	0	
2702	2295	0	
2709	1BD1	0	
2709	22A7	0	
2710	2295	0	
2710	161C	0	
2718	22CE	0	
2718	161C	0	
271F	E942	0	
271F	231B	0	
271F	DADB	1	1479
2729	2352	0	
272D	23CF	0	
272D	23E7	0	
272D	2415	0	
2737	2436	0	
2737	245A	0	
273E	24F5	1	386
2743	2502	0	
2747	253D	0	
2747	255F	0	
2747	257D	0	
2747	2598	0	
2754	20FA	0	
2754	2101	0	
27D6	ED77	0	
27D6	ED7F	0	
27D6	ED77	0	
27D6	ED7F	0	
27D6	ED77	0	
27D6	ED7F	0	
27D6	ED77	0	
27D6	ED7F	0	
27D6	ED77	0	
27D6	ED7F	0	
2896	ED77	0	
2896	ED7F	0	
2896	ED77	0	
2896	ED7F	0	
2896	ED82	0	
2896	ED86	0	
2896	ED77	0	
2896	ED7F	0	
2896	ED82	0	
2896	ED86	0	
2951	ED82	0	
2951	ED86	0	
2977	ED82	0	
2977	ED86	0	
2986	ED82	0	
2986	ED86	0	
2993	ED82	0	
2993	ED86	0	
29C9	E82C	0	
29C9	ED86	0	
29D2	ED82	0	
29D2	ED86	0	
29D2	ED82	0	
29D2	ED86	0	
2A22	ED82	0	
2A22	ED86	0	
2A31	ED82	0	
2A31	ED86	0	
2A4E	ED82	0	
2A4E	ED86	0	
2A68	ED82	0	
2A68	ED86	0	
2A7F	ED82	0	
2A7F	ED86	0	
2A9D	ED82	0	
2A9D	ED86	0	
2ACA	ED82	0	
2ACA	ED86	0	
2AE3	ED82	0	
2AE3	ED86	0	
2AF9	ED82	0	
2AF9	E83E	0	
2AF9	ED86	0	
2B10	ED82	0	
2B10	ED86	0	
2B2F	ED82	0	
2B2F	ED86	0	
2B45	ED82	0	
2B45	ED86	0	
2B62	2B45	1	420
2B62	ED82	0	
2B62	ED86	0	
2B8C	ED82	0	
2B8C	ED86	0	
2BB4	ED82	0	
2BB4	E8A9	0	
2BB4	ED82	0	
2BB4	ED86	0	
2BCF	E96C	0	
2BCF	EC7C	0	
2C53	ED89	0	
2C53	E977	0	
2C53	ED8F	0	
2C69	ED89	0	
2C69	ED8F	0	
2C80	ED89	0	
2C80	ED8F	0	
2CFE	ED89	0	
2CFE	ED8F	0	
2D2A	ED89	0	
2D2A	ED8F	0	
2D6D	ED89	0	
2D6D	ED8F	0	
2DA1	ED82	0	
2DA1	ED86	0	
2DB0	E94F	0	
2DB4	ED89	0	
2DB4	ED8F	0	
2DC8	ED89	0	
2DC8	ED8F	0	
2DE4	E94F	0	
2DE4	ED89	0	
2DE4	ED8F	0	
2E10	E94F	0	
2E10	DADB	1	1479
2E3C	E94F	0	
2E3C	DADB	1	1479
2EDB	E94F	0	
2EDB	E819	0	
2EDB	DADB	1	1479
2EE6	E94F	0	
2EE6	DADB	1	1479
2EF1	E94F	0	
2EF1	DADB	1	1479
2F09	E94F	0	
2F09	DADB	1	1479
2F17	E94F	0	
2F17	DADB	1	1479
2F27	E94F	0	
2F27	E821	0	
2F90	ED93	0	
2F90	ED9B	0	
2FAF	ED93	0	
2FAF	ED9B	0	
2FD5	ED93	0	
2FD5	ED9B	0	
3008	ED93	0	
3008	ED9B	0	
30AC	E94F	0	
30AC	ED93	0	
30AC	ED9B	0	
30CF	E94F	0	
30CF	ED93	0	
30CF	ED9B	0	
30ED	E94F	0	
30ED	ED93	0	
30ED	ED9B	0	
3121	E94F	0	
3121	E985	0	
312D	E94F	0	
312D	DADB	1	1479
3179	E94F	0	
3179	E9B5	0	
3302	32D5	1	482,591
33A7	3362	0	
33D2	3362	0	
33D2	E83E	0	
340D	E94F	0	
340D	DADB	1	1479
345F	344E	0	
345F	ED9E	0	
345F	E88D	0	
345F	EDA3	0	
3478	344E	0	
3478	ED9E	0	
3478	EDA3	0	
34A1	ED9E	0	
34A1	E893	0	
34A1	EDA3	0	
34AB	ED9E	0	
34AB	EDA3	0	
34AB	ED9E	0	
34AB	EDA3	0	
3509	ED9E	0	
3509	EDA3	0	
3544	ED9E	0	
3544	EDA3	0	
3544	ED9E	0	
3544	EDA3	0	
357E	ED9E	0	
357E	EDA3	0	
357E	ED9E	0	
357E	EDA3	0	
3604	ED9E	0	
3604	E9D5	0	
3604	EDA3	0	
360E	ED9E	0	
360E	EDA3	0	
360E	ED9E	0	
360E	EDA3	0	
3656	E94F	0	
3656	DADB	1	1479
367B	E94F	0	
367B	DADB	1	1479
36A1	E94F	0	
36A1	DADB	1	1479
36B6	E94F	0	
36B6	DADB	1	1479
36EF	ED9E	0	
36EF	EDA3	0	
36EF	DADB	1	1479
3725	371D	1	593
3725	E88D	0	
397E	E94F	0	
397E	EBD2	0	
39A1	3985	0	
39DB	EDA6	0	
39DB	EDAB	0	
39FE	EDA6	0	
39FE	EDAB	0	
3A15	EDA6	0	
3A15	EDAB	0	
3A3B	EDA6	0	
3A3B	EDAB	0	
3A3B	EDA6	0	
3A3B	EDAB	0	
3A84	EDA6	0	
3A84	EDAB	0	
3AB5	EDA6	0	
3AB5	EDAB	0	
3AB5	EDA6	0	
3AB5	EDAB	0	
3AF7	EDA6	0	
3AF7	EDAB	0	
3B1E	EDA6	0	
3B1E	EDAB	0	
3B58	3B4A	0	
3B7D	E94F	0	
3B7D	DADB	1	1479
3BDD	E94F	0	
3BDD	DADB	1	1479
3BFE	E94F	0	
3BFE	DADB	1	1479
3C32	EDA6	0	
3C32	EDAB	0	
3C32	DADB	1	1479
3C47	E9F0	0	
3C4B	3C47	1	533
3CAF	EDAE	0	
3CAF	EDB3	0	
3CAF	EDAE	0	
3CAF	EDB3	0	
3CEF	EDB6	0	
3CEF	EDBB	0	
3CEF	EDAE	0	
3CEF	EDB3	0	
3D24	EDAE	0	
3D24	EDB3	0	
3D24	EDAE	0	
3D24	EDB3	0	
3D63	EDAE	0	
3D63	EDB3	0	
3D63	EDAE	0	
3D63	EDB3	0	
3DC1	EDB6	0	
3DC1	EDBB	0	
3DC1	EDB6	0	
3DC1	EDBB	0	
3E21	EDAE	0	
3E21	EDB3	0	
3E21	EDB6	0	
3E21	EDBB	0	
3E4D	EDAE	0	
3E4D	E9F6	0	
3E55	EDAE	0	
3E55	EDB3	0	
3E93	EDB6	0	
3E93	EDBB	0	
3E93	EDAE	0	
3E93	EDB3	0	
3ED6	EDAE	0	
3ED6	EDB3	0	
3ED6	EDB6	0	
3ED6	EDBB	0	
3F13	E83E	0	
3F49	EDAE	0	
3F49	EDB3	0	
3F49	3F77	0	
3F73	3F87	0	
3F87	EDAE	0	
3F87	EDB3	0	
4000	EDAE	0	
4000	EDB3	0	
4000	3F77	0	
402C	E94F	0	
402C	EDAE	0	
402C	EDB3	0	
402C	EDB6	0	
402C	EDBB	0	
4058	E94F	0	
4058	EDAE	0	
4058	EDB3	0	
4058	EDB6	0	
4058	EDBB	0	
4091	E94F	0	
4091	EDAE	0	
4091	EDB3	0	
40A9	E94F	0	
40A9	DADB	1	1479
40D5	E94F	0	
40D5	DADB	1	1479
40F5	E94F	0	
40F5	DADB	1	1479
411B	E87A	0	
412A	411B	0	
412A	EDAE	0	
412A	E87A	0	
412A	EDB3	0	
4173	ED82	0	
4173	ED86	0	
419A	ED82	0	
419A	ED86	0	
419A	ED82	0	
419A	ED86	0	
4238	E7DE	0	
42DC	EDBE	0	
42DC	EDC3	0	
4307	EDBE	0	
4307	EDC3	0	
4323	EDBE	0	
4323	EDC3	0	
4345	EDBE	0	
4345	EDC3	0	
43A9	EDBE	0	
43A9	EDC3	0	
43DF	EDBE	0	
43DF	EDC3	0	
43F4	E94F	0	
43F4	EDBE	0	
43F4	EDC3	0	
43F4	EDBE	0	
43F4	EDC3	0	
443A	E94F	0	
443A	EDBE	0	
443A	EDC3	0	
4466	E94F	0	
4466	EDBE	0	
4466	EDC3	0	
448B	E94F	0	
448B	EDBE	0	
448B	EDC3	0	
44BC	E94F	0	
44BC	DADB	1	1479
44F0	E94F	0	
44F0	DADB	1	1479
452A	E94F	0	
452A	DADB	1	1479
455D	ED82	0	
455D	E7BB	0	
455D	ED86	0	
4568	E7D0	0	
4568	E7D7	0	
4574	E7D0	0	
4574	E7D7	0	
457C	E7D0	0	
457C	E7D7	0	
4584	E7D0	0	
4584	E7D7	0	
458C	E7D0	0	
458C	E7D7	0	
4596	E7D0	0	
4596	E7D7	0	
45A2	E7D0	0	
45A2	E7D7	0	
45AA	E7D0	0	
45AA	E7D7	0	
45B2	E7D0	0	
45B2	E7D7	0	
45BA	ED82	0	
45BA	E7DE	0	
45BA	ED82	0	
45BA	E7F5	0	
45BA	ED86	0	
45CA	ED82	0	
45CA	ED86	0	
45D8	E809	0	
45EA	E809	0	
45EA	E80C	0	
45F5	E809	0	
45F5	E80C	0	
4600	E980	0	
4615	E7D0	0	
4615	E7D7	0	
461D	ED82	0	
461D	1906	0	
461D	ED86	0	
4627	E94F	0	
4627	EDA6	0	
4627	E819	0	
4627	EDAB	0	
4634	E94F	0	
4634	E821	0	
4644	463D	0	
466C	463D	0	
46DC	ED82	0	
46DC	ED86	0	
4794	ED82	0	
4794	ED86	0	
47A7	ED82	0	
47A7	ED86	0	
48FB	ED82	0	
48FB	ED86	0	
49C6	EDC6	0	
49C6	EDCD	0	
49C6	EDC6	0	
49C6	EDCD	0	
49C6	EDD0	0	
49C6	EDD7	0	
49C6	EDC6	0	
49C6	EDCD	0	
49C6	EDD0	0	
49C6	EDD7	0	
49C6	DADB	1	1479
4AB7	4AA6	1	630
