group	file_offset	prg_offset	capacity	display_limit	columns	frame_mode	original_japanese	translation
password	03654	03644	19	20	10		パスワードを きろくしてください	ЗАПИШИТЕ  ПАРОЛЬ
password	03668	03658	22	20	10		パスワードを にゅうりょくしてください	ВВЕДИТЕ   ПАРОЛЬ
password	0367F	0366F	16	20	10		パスワードが ちがいます	НЕВЕРНЫЙ  ПАРОЛЬ
password	03690	03680	20	20	10		パスワードを へんこうしてください	СМЕНИТЕ   ПАРОЛЬ
status	036A5	03695	8	10	10		しょうこひん  	УЛИКИ
status	036AF	0369F	8	10	10		ききこみ    	ОПРОС
status	036B9	036A9	9	10	10		とりしらべ   	ДОПРОС
status	036C3	036B3	9	10	10		じょうほう   	СВЕДЕНИЯ
status	036CD	036BD	9	10	10		そうさだんかい 	ЭТАП ДЕЛА
status	036D7	036C7	17	10	10		ただいまの そうさじょうきょう	ХОД ДЕЛА
names_a	17240	17230	13	10	10	after10_fd_if_room	ビル。ロビンズ   	БИЛЛ РОББ
names_a	1724E	1723E	10	10	10	after10_fd_if_room	マーサ。キャリントン	МАРТА КЭРР
names_a	17259	17249	14	10	10	after10_fd_if_room	エドワード。ロビンズ	ЭДВАРД Р
names_a	17268	17258	13	10	10	after10_fd_if_room	フレッド。ロビンズ 	ФРЕД РОББ
names_a	17276	17266	12	10	10	after10_fd_if_room	ケイト。ホルデイング	КЕЙТ ХОЛД
names_a	17283	17273	12	10	10	after10_fd_if_room	トニー ホルデイング	ТОНИ ХОЛД
names_a	17290	17280	12	10	10	after10_fd_if_room	リサ。ホルデイング 	ЛИЗА ХОЛД
names_a	1729D	1728D	12	10	10	after10_fd_if_room	マイク。ホルデイング	МАЙК ХОЛД
names_a	172AA	1729A	11	10	10	after10_fd_if_room	ジョー。キャリントン	ДЖО КЭРР
names_a	172B6	172A6	13	10	10	after10_fd_if_room	ジャネット。ロビンズ	ДЖАНЕТ Р
names_a	172C4	172B4	10	10	10	after10_fd_if_room	ラルフ。キャリントン	РАЛЬФ КЭРР
names_a	172CF	172BF	11	10	10	after10_fd_if_room	サイモン。レンデル 	САЙМОН РЕН
names_a	172DB	172CB	11	10	10	after10_fd_if_room	スージー。マクナリー	СЬЮЗИ МАК
names_a	172E7	172D7	11	10	10	after10_fd_if_room	パメラ。スミス   	ПАМЕЛА
names_a	172F3	172E3	12	10	10	after10_fd_if_room	シエリーマクドナルド	ШЕЛЛИ МАК
names_a	17300	172F0	13	10	10	after10_fd_if_room	ポール。デービス  	ПОЛ ДЭВИС
names_a	1730E	172FE	11	10	10	after10_fd_if_room	モラ。シールズ   	САРА ШИЛДС
names_a	1731A	1730A	11	10	10	after10_fd_if_room	ウイルバー。フオート	УИЛБЕР
names_a	17326	17316	12	10	10	after10_fd_if_room	ジム。マクベイン  	ДЖИМ МАК
names_a	17333	17323	12	10	10	after10_fd_if_room	デイジー。ハーネスト	ДЕЙЗИ
names_a	17340	17330	11	10	10	after10_fd_if_room	スタンリー。ハワード	СТЭН ХОВ
names_a	1734C	1733C	13	10	10	after10_fd_if_room	グレゴリ。レイモンド	ГРЕГ РЕЙМ
names_a	1735A	1734A	13	10	10	after10_fd_if_room	ロバート。オズボーン	РОБ ОЗБОРН
names_a	17368	17358	12	10	10	after10_fd_if_room	ニック。グッドマン 	НИК ГУДМАН
names_a	17375	17365	11	10	10	after10_fd_if_room	マニエル。バークリー	МАНУЭЛ
