token	index	raw	decoded
60	0	F8 F1 02	\n<$F1>き
61	1		
62	2	F8 F1 0A FE F9	\n<$F1>そ<$FE><$F9>
63	3	E2 54 08	ボス
64	4	03 2B 02 3A	くろき「
65	5	E3 07 31 2E 3A	シュン「
66	6	3C 3A	＊「
67	7	3C 3A	＊「
68	8	1F 08	ます
69	9	1F 07 0B	ました
6A	10	1F 09 2E	ません
6B	11	1F 07 32 17	ましょう
6C	12	4E 08	です
6D	13	4E 07 0B	でした
6E	14	4E 07 32 17	でしょう
6F	15	26 3F	よ。
70	16	1D 3F	ね。
71	17	01 36	か？
72	18	3D 3D 3F	……。
73	19	1B 00	に 
74	20	2D 00	を 
75	21	10 00	は 
76	22	1E 00	の 
77	23	01 00	か 
78	24	41 00	が 
79	25	1E 4E	ので
7A	26	4E 10 00	では 
7B	27	18 36 00	え？ 
7C	28	19 23	おも
7D	29	2C 01	わか
7E	30	15 28	あり
7F	31	1A 16	ない
80	32	23 17	もう
81	33	1F 4B	まだ
82	34	4F 05	どこ
83	35	4F 2A	どれ
84	36	1A 1B	なに
85	37	20 0B 16	みたい
86	38	26 17	よう
87	39	27 07 16	らしい
88	40	0C 32 2F 0F 00	ちょっと 
89	41	0F 03 1B 00	とくに 
8A	42	01 2C 2F 0B	かわった
8B	43	17 0B 41	うたが
8C	44	15 0B 28	あたり
8D	45	19 0F 05	おとこ
8E	46	19 2E 1A	おんな
8F	47	04 16 47	けいじ
90	48	04 16 06 0D	けいさつ
91	49	10 2E 1B 2E	はんにん
92	50	07 0B 16	したい
93	51	06 2E	さん
94	52	11 0F	ひと
95	53	11 41 16 07 30	ひがいしゃ
96	54	50 07 32	ばしょ
97	55	10 1A 07	はなし
98	56	E3 0C 27 07	チラシ
99	57	07 30 07 2E	しゃしん
9A	58	06 16 12	さいふ
9B	59	22 16 07	めいし
9C	60	E6 08 0F 2F 02 2E 43	ストッキング
9D	61	4E 2E 2C	でんわ
9E	62	E3 1F 28 23	マリモ
9F	63	19 20 24 44	おみやげ
A0	64	E6 01 21 16 2F 07 31	カムイッシュ
A1	65	E7 07 33 48 2E 39 19 12	シーズン・オフ
A2	66	0E 0C 32 17	てちょう
A3	67	E4 1F 28 45 04	マリゴケ
A4	68	1F 08 4B	ますだ
A5	69	16 16 47 1F	いいじま
A6	70	07 2E 47	しんじ
A7	71	E2 44 2E 06 2E	ゲンさん
A8	72	07 27 02	しらき
A9	73	19 03 21 27	おくむら
AA	74	07 2E 05 2E	しんこん
AB	75	1F 02 05	まきこ
AC	76	22 43 20	めぐみ
AD	77	17 27 0B	うらた
AE	78	25 01 28	ゆかり
AF	79	E4 01 2F 57 29	カップル
B0	80	24 03 46	やくざ
B1	81	E4 15 55 33 0F	アパート
B2	82	E3 14 33 21	ホーム
B3	83	20 09	みせ
B4	84	0F 17 02 32 17	とうきょう
B5	85	10 29 20 12 0F 17	はるみふとう
B6	86	E4 29 52 27 2E	ルブラン
B7	87	02 0B 10 1F	きたはま
B8	88	15 50 07 28	あばしり
B9	89	06 2F 59 2B	さっぽろ
BA	90	08 08 02 1E	すすきの
BB	91	E6 05 2B 59 2F 03 28	コロポックリ
BC	92	1F 07 31 17 05	ましゅうこ
BD	93	07 2A 0F 05 00 45 05	しれとこ ごこ
BE	94	0C 31 17 07 30 47 32 17	ちゅうしゃじょう
BF	95	28 32 01 2E	りょかん
C0	96	23 2E 53 0D	もんべつ
C1	97	51 32 17 16 2E	びょういん
C2	98	04 16 21 07 32	けいむしょ
C3	99	25 17 50 28	ゆうばり
C4	100	03 2F 07 30 2B 05	くっしゃろこ
C5	101	15 03 0D	あくつ
C6	102	1F 28 23 24	まりもや
C7	103	2C 45 0F 00 19 2E 09 2E	わごと おんせん
C8	104	1F 0C	まち
C9	105	E5 19 14 33 0D 03	オホーツク
CA	106	50 16 0E 2E	ばいてん
CB	107	15 01 2E 05	あかんこ
CC	108	E4 0F 4F 2C 27	トドワラ
CD	109	10 05 4B 0E	はこだて
CE	110	E3 17 0F 2B	ウトロ
CF	111	20 4F 28 41 19 01	みどりがおか
