TYPE	JP	READING	RU	GENDER	ROLE / NOTE	STATUS
CHAR	主人公 / ボス	shujinkou / boss	Шеф / инспектор	не фиксируем	Игровой персонаж, 警視庁の警部. В FC имя задаёт игрок; в тексте избегаем рода.	LOCKED
CHAR	黒木 五郎	Kuroki Gorou	Горо Куроки / Куроки	м	Напарник/подчинённый главного героя в Токио; лёгкий, шутливый характер.	LOCKED
CHAR	猿渡 俊介	Saruwatari Shunsuke	Сюнсукэ Саруватари / Сюн	м	Молодой детектив участка Кусиро, напарник в Хоккайдо; немного упрям.	LOCKED
CHAR	野村 真紀子	Nomura Makiko	Макико Номура	ж	19 лет; героиня; уроженка Хоккайдо, подруга Мэгуми.	LOCKED
CHAR	中山 めぐみ	Nakayama Megumi	Мэгуми Накаяма	ж	Подруга детства Макико; студентка женского университета в Токио.	LOCKED
CHAR	山辺 則之	Yamabe Noriyuki?	Ямабэ	м	Начальник участка Кусиро. Чтение имени 則之 не фиксировать в репликах без подтверждения игрой.	PARTIAL
CHAR	増田 文吉	Masuda Bunkichi	Бункичи Масуда	м	Первая жертва; тело найдено у причала Харуми.	LOCKED
CHAR	高野	Takano	Такано	м	Свидетель, обнаруживший тело Масуды.	LOCKED
CHAR	アケミ	Akemi	Акэми	ж	Популярная хостес в кабаре «Леблан»; не любит полицию.	LOCKED
CHAR	ルナ	Luna	Луна	ж	Хостес «Леблана», обслуживала Масуду.	LOCKED
CHAR	増田 たえ	Masuda Tae	Таэ Масуда	ж	Жена Бункичи. В транскрипции старого мануала встречается たみ, но FC-скрипт прямо даёт ますだ たえ; источник истины — ROM.	LOCKED
CHAR	飯島 幸男	Iijima Yukio	Юкио Иидзима	м	Влиятельный человек из Китахамы; связан с послевоенной аферой.	LOCKED
CHAR	飯島 しんじ	Iijima Shinji	Синдзи Иидзима	м	Сын Юкио Иидзимы.	LOCKED
CHAR	白木 雄九郎	Shiraki Yukurou	Юкуро Сираки	м	Президент крупной токийской торговой компании/супермаркета; связан с послевоенной аферой.	LOCKED
CHAR	坂口 達夫	Sakaguchi Tatsuo	Тацуо Сакагути	м	Секретарь Сираки.	LOCKED
CHAR	奥村 紀助	Okumura Kisuke	Кисукэ Окумура	м	Связан с судном и послевоенной аферой.	LOCKED
CHAR	浦田 甚五郎	Urata Jingorou	Дзингоро Урата / Урата	м	Пожилой заключённый тюрьмы Абасири; знает историю послевоенной аферы.	LOCKED
CHAR	野村 源治 / ゲンさん	Nomura Genji / Gen-san	Гэндзи Номура / Гэн-сан	м	Отец Макико и Юкари; работник «Коропоккури». Не путать с ошибочными пересказами, где его называют другим именем.	LOCKED
CHAR	野村 ゆかり	Nomura Yukari	Юкари Номура	ж	Младшая сестра Макико.	LOCKED
CHAR	野村 安吉	Nomura Yasukichi	Ясукичи Номура	м	Отец Гэндзи; рыбак/судоводитель, погиб в послевоенной катастрофе.	LOCKED
CHAR	阿久津 秀雄	Akutsu Hideo	Хидэо Акуцу	м	Бывший морской офицер, влиятельный политик; ключевая фигура старого дела.	LOCKED
CHAR	小野 とく子	Ono Tokuko	Токуко Оно	ж	25 лет; настоящее имя женщины из отдельного «ложного Сираки»-эпизода.	LOCKED
CHAR	井持 邦雄	Imochi Kunio	Кунио Имоти	м	30 лет; настоящее имя мужчины из отдельного «ложного Сираки»-эпизода.	LOCKED
ALIAS	白木 辰雄	Shiraki Tatsuo	Тацуо Сираки	м	Псевдоним Кунио Имоти. Не путать с Юкуро Сираки.	LOCKED
ALIAS	白木 郁美	Shiraki Ikumi	Икуми Сираки	ж	Псевдоним Токуко Оно.	LOCKED
