original_japanese	translation
しりません	Не знаю.
しりませんね	Не знаю.
・・・・・・	...
よくしりません	Плохо знаю.
しりません・・・	Не знаю...
しりませんが	Не знаю.
ありません	Нет.
わたしはしりません	Я не знаю.
しりませんわ	Не знаю.
。	<BF>.
うっ・・・・・・	Ух...
しりません 	Не знаю.
し しりません・・・・・・	Н-не знаю...
わたし しりません・・・。	Я не знаю...
わたしがビルをころそうと こうふんしてピストルをもったとき ラルフがとめたのです。そのとき ぼうはつしてラルフは けがをしました。そのちは そのときのものです	Я хотела убить Билла.Взяла пистолет.Ральф остановил меня.Пистолет выстрелил и ранил его.Это его кровь.
・・・・・・・・・	...
うっ・・・・・・・・・	Ух...
ははです	Моя мать.
なんぶの しゅっしんなんです	Родом с юга.
ないわ	Нет.
・・・・・・。	...
し しりません・・・	Н-не знаю...
た。	Была.
キャリントンさんが はんにんというのは ほんとうですか	Правда,Кэррингтон убийца?
しりませんね。	Не знаю.
し しりません	Н-не знаю.
そういうクラブがありました。すいりしょうせつずきのひとが あかいネクタイをして あつまるというはなしでした。20ねんまえのはなしですよ	Был такой клуб.Любители детективов собирались в красных галстуках.Это было 20 лет назад.
きた。	Пришёл.
J.B.はそ	J.B.
しりませんが・・・	Не знаю...
しりませんよ	Не знаю.
・・・し しりません・・・	...Н-не знаю...
しらん	Не знаю.
・・・・・・うっ・・・	...Ух...
このだいがくの けいびいんです	Я охранник этого колледжа.
