# Nested RU byte-pair/n-gram dictionary. TSV order is dependency order.
# 60 and 62 preserve original control macros. D0..EF use the v0.8 secondary dictionary.
TOKEN	EXPANSION_HEX	KIND	OCCURRENCES	CORPUS_SAVING
61	50 00	PAIR	1135	1135
63	4F 3A	PAIR	981	981
64	13 2C	PAIR	971	971
65	64 63	PAIR	967	967
66	4F 41	PAIR	900	900
67	46 00	PAIR	841	841
68	52 50	PAIR	673	673
69	54 50	PAIR	646	646
6A	51 50	PAIR	597	597
6B	4C 4A	PAIR	508	508
6C	4A 54	PAIR	501	501
6D	52 41	PAIR	485	485
6E	4D 4A	PAIR	461	461
6F	53 54	PAIR	450	450
70	4C 41	PAIR	450	450
71	4F 50	PAIR	435	435
72	54 61	PAIR	418	418
73	46 54	PAIR	404	404
74	00 43	PAIR	398	398
75	4C 50	PAIR	394	394
76	4F 4A	PAIR	393	393
77	45 46	PAIR	359	359
78	50 54	PAIR	348	348
79	00 53	PAIR	318	318
7A	52 4A	PAIR	317	317
7B	43 41	PAIR	306	306
7C	45 41	PAIR	303	303
7D	44 50	PAIR	302	302
7E	5E 00	PAIR	282	282
7F	49 41	PAIR	260	260
80	4F 46	PAIR	257	257
81	4D 41	PAIR	255	255
82	46 52	PAIR	252	252
83	4D 5E	PAIR	252	252
84	4F 67	PAIR	252	252
85	44 61	PAIR	245	245
86	4E 00	PAIR	234	234
87	0C 55	PAIR	230	230
88	55 48	PAIR	229	229
89	59 46	PAIR	229	229
8A	4C 55	PAIR	214	214
8B	45 50	PAIR	210	210
8C	54 41	PAIR	205	205
8D	68 6B	PAIR	204	204
8E	87 8D	PAIR	203	203
8F	8E 3A	PAIR	202	202
90	2D 00	PAIR	202	202
91	5D 00	PAIR	194	194
92	46 56	PAIR	188	188
93	46 4F	PAIR	187	187
94	11 50	PAIR	186	186
95	55 00	PAIR	184	184
96	4A 00	PAIR	183	183
97	4D 50	PAIR	181	181
98	0E 41	PAIR	177	177
99	52 46	PAIR	176	176
9A	66 00	PAIR	174	174
9B	54 5E	PAIR	166	166
9C	1A 92	PAIR	165	165
9D	50 48	PAIR	161	161
9E	43 50	PAIR	156	156
9F	4E 41	PAIR	154	154
A0	6C 46	PAIR	152	152
A1	4A 66	PAIR	142	142
A2	49 66	PAIR	141	141
A3	51 68	PAIR	135	135
A4	4F 5D	PAIR	134	134
A5	53 5E	PAIR	134	134
A6	4D 46	PAIR	133	133
A7	4B 00	PAIR	132	132
A8	5F 69	PAIR	131	131
A9	42 5D	PAIR	129	129
AA	53 2D	PAIR	128	128
AB	41 53	PAIR	128	128
AC	4E 50	PAIR	128	128
AD	43 46	PAIR	126	126
AE	4F 61	PAIR	125	125
AF	4E 78	PAIR	124	124
B0	6F 41	PAIR	120	120
B1	03 49 44 4D 2D 4F 6C 67 9A A8 3F	NGRAM	33	330
B2	04 5F 4F 33 53 41	NGRAM	61	305
B3	0E 88 59 A1 3A	NGRAM	63	252
B4	13 AF 52 A0 83 3A	NGRAM	46	230
B5	65 94 53 AF 52 6C 67 9A A8 3F	NGRAM	22	198
B6	4F 53 51 46 4C 69 52	NGRAM	31	186
B7	55 42 4A	NGRAM	86	172
B8	98 6B 75	NGRAM	79	158
B9	94 57 9D 46 3E	NGRAM	36	144
BA	17 50 49 2D 4B 70 3A	NGRAM	24	144
BB	77 53 7E	NGRAM	69	138
BC	0E 9D 73 3E	NGRAM	44	132
BD	13 4A 4F 45 49 4A	NGRAM	25	125
BE	50 42 00 50 45 71 86 B7 4B 6F AD 3F	NGRAM	11	121
BF	08 93 5B A1 3A	NGRAM	29	116
C0	4F 73 3F	NGRAM	57	114
C1	65 9C 3E	NGRAM	56	112
C2	46 4B 59 AB	NGRAM	37	111
C3	01 4C 5F 4E 4A 3A	NGRAM	22	110
C4	98 6B 4C 61	NGRAM	36	108
C5	0A 4A 45 49 4A	NGRAM	27	108
C6	50 4F 00	NGRAM	53	106
C7	6E 58 46 4B 53 6B	NGRAM	21	105
C8	8B 49 52 A0 83	NGRAM	26	104
C9	0E 50 4E 42 5F 58 55	NGRAM	17	102
CA	50 69 44 6D 56	NGRAM	25	100
CB	0F 4A 89 85	NGRAM	33	99
CC	8F 17 78 4A 4E 79 A3 53 6C 5E	NGRAM	11	99
CD	6D 53 53 A6 8B 7B 76	NGRAM	16	96
