id	ids	ptr	bank	cpu	len	class	reloc	reloc_reasons	incoming_f2	outgoing_f2	f2_targets	f_controls	raw	jp	jp_expanded
2	2	0E80	A	8E80	1	plain	YES		0	0			FF		
3	3	0E81	A	8E81	2	controlled	YES		0	0		F9	F9 FF	[F9]	[F9]
4	4	0E83	A	8E83	5	plain	YES		0	0		F8	F8 63 3A 36 FF	\nボス「？	\nボス「？
5	5	12E2	A	92E2	33	controlled	YES		0	0		F3	64 F3 00 04 16 52 00 6C 70 60 EA 22 2F 09 33 47 00 08 56 33 4F 75 4F 1E 03 27 16 1B 60 07 68 71 FF	くろき「[F3] けいぶ ですね。\n[F1:$02]メッセージ スピードは どのくらいに\n[F1:$02]しますか？	くろき「[F3] けいぶ ですね。\n[F1:$02]メッセージ スピードは どのくらいに\n[F1:$02]しますか？
6	6	1303	A	9303	5	controlled	YES		0	1	1309	F2	64 F2 09 13 FF	くろき「[F2:$1309]	くろき「[F3] けいぶ ですね。\n[F1:$02]あなたの おかえりを おまちして\n[F1:$02]おりました。\n[F1:$02]さあ そうさを ぞっこう しましょう[GLYPH:$37]\n[F1:$02]メッセージ スピードは どのくらいに\n[F1:$02]しますか？
7	7	1308	A	9308	72	controlled	NO	F2_INTERIOR	0	0		F3	65 F3 00 04 16 52 00 6C 70 60 15 1A 0B 76 19 01 18 28 74 19 1F 0C 07 0E 60 19 28 69 3F 60 06 15 00 0A 17 06 74 4A 2F 05 17 00 07 1F 07 32 17 37 60 EA 22 2F 09 33 47 00 08 56 33 4F 75 4F 1E 03 27 16 1B 60 07 68 71 FF	シュン「[F3] けいぶ ですね。\n[F1:$02]あなたの おかえりを おまちして\n[F1:$02]おりました。\n[F1:$02]さあ そうさを ぞっこう しましょう[GLYPH:$37]\n[F1:$02]メッセージ スピードは どのくらいに\n[F1:$02]しますか？	シュン「[F3] けいぶ ですね。\n[F1:$02]あなたの おかえりを おまちして\n[F1:$02]おりました。\n[F1:$02]さあ そうさを ぞっこう しましょう[GLYPH:$37]\n[F1:$02]メッセージ スピードは どのくらいに\n[F1:$02]しますか？
8	8	1350	A	9350	47	controlled	YES		0	0		F8,F1,FE	64 19 24 00 63 00 9D 85 6C 70 62 64 10 16 3F 23 07 23 07 72 62 64 63 3E 0B 16 13 2E 6C 3F B4 2C 2E 1B 60 8D 1E 00 92 41 2F 37 F8 F1 0A FE FF	くろき「おや ボス でんわみたいですね。\n[F1:$0A][FE][F9]くろき「はい。もしもし……。\n[F1:$0A][FE][F9]くろき「ボス、たいへんです。とうきょうわんに\n[F1:$02]おとこの したいがっ[GLYPH:$37]\n[F1:$0A][FE]	くろき「おや ボス でんわみたいですね。\n[F1:$0A][FE][F9]くろき「はい。もしもし……。\n[F1:$0A][FE][F9]くろき「ボス、たいへんです。とうきょうわんに\n[F1:$02]おとこの したいがっ[GLYPH:$37]\n[F1:$0A][FE]
9	9	137F	A	937F	5	controlled	YES		0	1	139E	F2	64 F2 9E 13 FF	くろき「[F2:$139E]	くろき「では そうさを ちゅうだんします。\n[F1:$02]いいですか？
10	10	1384	A	9384	11	controlled	YES		0	2	13E6,13C0	FA,F8,F2,F2	FA F8 64 F2 E6 13 64 F2 C0 13 FF	[FA]\nくろき「[F2:$13E6]くろき「[F2:$13C0]	[FA]\nくろき「これが きょうの そうさメモ です。\nなにかに かきとめて おいてください。[F0:$A2]\n[F1:$0A][FE][F9]くろき「どうも おつかれさまでした。[F0:$A2]\n[F1:$0A][FE][F9]
11	11	138F	A	938F	5	controlled	YES		0	1	13D4	F2	64 F2 D4 13 FF	くろき「[F2:$13D4]	くろき「では そうさを ぞっこうします。[F0:$A2]
12	12	1394	A	9394	10	controlled	YES		0	3	ED82,139E,ED86	F2,F2,F2	F2 82 ED F2 9E 13 F2 86 ED FF	[F2:$ED82][F2:$139E][F2:$ED86]	シュン「[F0:$A1]では そうさを ちゅうだんします。\n[F1:$02]いいですか？[F0:$A2]
13	13	13B1	A	93B1	15	controlled	YES		0	4	ED82,13E6,ED82,13C0	FA,F8,F2,F2,F2,F2	FA F8 F2 82 ED F2 E6 13 F2 82 ED F2 C0 13 FF	[FA]\n[F2:$ED82][F2:$13E6][F2:$ED82][F2:$13C0]	[FA]\nシュン「[F0:$A1]これが きょうの そうさメモ です。\nなにかに かきとめて おいてください。[F0:$A2]\n[F1:$0A][FE][F9]シュン「[F0:$A1]どうも おつかれさまでした。[F0:$A2]\n[F1:$0A][FE][F9]
14	14	13D1	A	93D1	21	controlled	NO	F2_INTERIOR	0	2	ED82,ED86	F2,F2	F2 82 ED 7A 0A 17 06 2D 00 4A 2F 05 17 07 1F 08 3F F2 86 ED FF	[F2:$ED82]では そうさを ぞっこうします。[F2:$ED86]	シュン「[F0:$A1]では そうさを ぞっこうします。[F0:$A2]
15	15	140E	A	940E	3	plain	YES		0	0			3C 3A FF	＊「	＊「
16	16	1414	A	9414	5	plain	YES		0	0			0B 01 1E 3A FF	たかの「	たかの「
17	17	0E88	A	8E88	5	plain	YES		0	0			96 16 4F 17 FF	ばしょいどう	ばしょいどう
18	18	0E8D	A	8E8D	5	plain	YES		0	0			8C 74 20 2B FF	あたりを みろ	あたりを みろ
19	19	0E92	A	8E92	5	plain	YES		0	0			94 73 02 04 FF	ひとに きけ	ひとに きけ
20	20	0E97	A	8E97	7	plain	YES		0	0			94 00 07 27 53 2B FF	ひと しらべろ	ひと しらべろ
21	21	0E9E	A	8E9E	5	plain	YES		0	0			94 73 B3 2B FF	ひとに みせろ	ひとに みせろ
22	22	0EA3	A	8EA3	6	plain	YES		0	0			94 00 06 41 09 FF	ひと さがせ	ひと さがせ
23	23	0EA9	A	8EA9	7	plain	YES		0	0			4B 2A 01 00 26 53 FF	だれか よべ	だれか よべ
24	24	0EB0	A	8EB0	7	plain	YES		0	0			84 77 07 27 53 2B FF	なにか しらべろ	なにか しらべろ
25	25	0EB7	A	8EB7	5	plain	YES		0	0			84 77 0F 2A FF	なにか とれ	なにか とれ
26	26	0EBC	A	8EBC	4	plain	YES		0	0			99 0F 2A FF	しゃしんとれ	しゃしんとれ
27	27	0EC0	A	8EC0	7	plain	YES		0	0			23 0C 23 1E 20 2B FF	もちものみろ	もちものみろ
28	28	0EC7	A	8EC7	8	plain	YES		0	0			4E 2E 2C 00 01 04 2B FF	でんわ かけろ	でんわ かけろ
29	29	0ECF	A	8ECF	7	plain	YES		0	0			0A 17 06 E2 22 23 FF	そうさメモ	そうさメモ
30	30	0ED6	A	8ED6	3	plain	YES		0	0			10 16 FF	はい	はい
31	31	0ED9	A	8ED9	4	plain	YES		0	0			16 16 18 FF	いいえ	いいえ
32	32	0EDD	A	8EDD	7	plain	YES		0	0			11 02 0F 27 09 2B FF	ひきとらせろ	ひきとらせろ
33	33	0EE4	A	8EE4	7	plain	YES		0	0			06 01 18 4F 19 28 FF	さかえどおり	さかえどおり
34	34	0EEB	A	8EEB	2	plain	YES		0	0			B6 FF	ルブラン	ルブラン
35	35	0EED	A	8EED	2	plain	YES		0	0			B5 FF	はるみふとう	はるみふとう
36	36	0EEF	A	8EEF	4	plain	YES		0	0			8C 76 94 FF	あたりの ひと	あたりの ひと
37	37	0EF3	A	8EF3	5	plain	YES		0	0			0B 01 1E 93 FF	たかのさん	たかのさん
38	38	0EF8	A	8EF8	7	plain	YES		0	0			23 03 44 02 07 30 FF	もくげきしゃ	もくげきしゃ
39	39	0EFF	A	8EFF	8	plain	YES		0	0			92 10 2F 04 2E 07 30 FF	したいはっけんしゃ	したいはっけんしゃ
40	40	0F07	A	8F07	2	plain	YES		0	0			91 FF	はんにん	はんにん
41	41	0F09	A	8F09	8	plain	YES		0	0			0A 05 74 07 27 53 2B FF	そこを しらべろ	そこを しらべろ
42	42	0F11	A	8F11	2	plain	YES		0	0			92 FF	したい	したい
43	43	0F13	A	8F13	4	plain	YES		0	0			07 16 2E FF	しいん	しいん
44	44	0F17	A	8F17	6	plain	YES		0	0			92 76 17 2C 42 FF	したいの うわぎ	したいの うわぎ
45	45	0F1D	A	8F1D	7	plain	YES		0	0			92 76 E3 48 54 2E FF	したいの ズボン	したいの ズボン
46	46	0F24	A	8F24	2	plain	YES		0	0			98 FF	チラシ	チラシ
47	47	0F26	A	8F26	2	plain	YES		0	0			99 FF	しゃしん	しゃしん
48	48	0F28	A	8F28	3	plain	YES		0	0			90 A2 FF	けいさつてちょう	けいさつてちょう
49	49	0F2B	A	8F2B	6	plain	YES		0	0			95 76 01 4A 03 FF	ひがいしゃの かぞく	ひがいしゃの かぞく
50	50	0F31	A	8F31	5	plain	YES		0	0			0B 01 4B BF FF	たかだりょかん	たかだりょかん
51	51	0F36	A	8F36	4	plain	YES		0	0			C8 1A 20 FF	まちなみ	まちなみ
52	52	0F3A	A	8F3A	4	plain	YES		0	0			4F 17 2B FF	どうろ	どうろ
53	53	0F3E	A	8F3E	5	plain	YES		0	0			B6 0E 2E 7F FF	ルブランてんない	ルブランてんない
54	54	0F43	A	8F43	5	plain	YES		0	0			B3 76 1A 01 FF	みせの なか	みせの なか
55	55	0F48	A	8F48	4	plain	YES		0	0			E2 29 1A FF	ルナ	ルナ
56	56	0F4C	A	8F4C	6	plain	YES		0	0			B6 16 28 43 0C FF	ルブランいりぐち	ルブランいりぐち
57	57	0F52	A	8F52	6	plain	YES		0	0			E4 0E 33 52 29 FF	テーブル	テーブル
58	58	0F58	A	8F58	3	plain	YES		0	0			16 08 FF	いす	いす
59	59	0F5B	A	8F5B	5	plain	YES		0	0			E3 15 04 20 FF	アケミ	アケミ
60	60	0F60	A	8F60	5	plain	YES		0	0			44 2E 01 2E FF	げんかん	げんかん
61	61	0F65	A	8F65	6	plain	YES		0	0			13 24 76 1A 01 FF	へやの なか	へやの なか
62	62	0F6B	A	8F6B	7	plain	YES		0	0			12 0F 2E 76 17 18 FF	ふとんの うえ	ふとんの うえ
63	63	0F72	A	8F72	5	plain	YES		0	0			E3 10 41 02 FF	ハガキ	ハガキ
64	64	0F77	A	8F77	4	plain	YES		0	0			01 50 2E FF	かばん	かばん
65	65	0F7B	A	8F7B	2	plain	YES		0	0			CF FF	みどりがおか	みどりがおか
66	66	0F7D	A	8F7D	7	plain	YES		0	0			18 02 76 1F 2C 28 FF	えきの まわり	えきの まわり
67	67	0F84	A	8F84	4	plain	YES		0	0			1A 1F 18 FF	なまえ	なまえ
68	68	0F88	A	8F88	2	plain	YES		0	0			9A FF	さいふ	さいふ
69	69	0F8A	A	8F8A	2	plain	YES		0	0			9B FF	めいし	めいし
70	70	0F8C	A	8F8C	5	plain	YES		0	0			02 32 17 02 FF	きょうき	きょうき
71	71	0F91	A	8F91	4	plain	YES		0	0			A4 76 99 FF	ますだの しゃしん	ますだの しゃしん
72	72	0F95	A	8F95	4	plain	YES		0	0			A5 76 99 FF	いいじまの しゃしん	いいじまの しゃしん
73	73	0F99	A	8F99	4	plain	YES		0	0			A8 76 99 FF	しらきの しゃしん	しらきの しゃしん
74	74	0F9D	A	8F9D	5	plain	YES		0	0			A4 76 05 0F FF	ますだの こと	ますだの こと
75	75	0FA2	A	8FA2	5	plain	YES		0	0			A5 76 05 0F FF	いいじまの こと	いいじまの こと
76	76	0FA7	A	8FA7	5	plain	YES		0	0			A8 76 05 0F FF	しらきの こと	しらきの こと
77	77	0FAC	A	8FAC	5	plain	YES		0	0			A7 76 05 0F FF	ゲンさんの こと	ゲンさんの こと
78	78	0FB1	A	8FB1	5	plain	YES		0	0			A9 76 05 0F FF	おくむらの こと	おくむらの こと
79	79	0FB6	A	8FB6	6	plain	YES		0	0			92 76 16 12 03 FF	したいの いふく	したいの いふく
80	80	0FBC	A	8FBC	2	plain	YES		0	0			A6 FF	しんじ	しんじ
